VALUE,EVT_FUEL,EVT_FUEL_N,R,G,B,RED,GREEN,BLUE
-9999,-9999,Fill-NoData,255,255,255,1,1,1
11,11,Ba Open Water,0,0,255,0,0,1
12,12,Ba Snow-Ice,159,161,240,1,1,1
20,20,Bau Urban,52,52,52,0.20392,0.20392,0.20392
21,21,Bau Developed-Open Space,52,52,52,0.20392,0.20392,0.20392
22,22,Bau Developed-Low Intensity,255,122,143,1,0.47843,0.56078
23,23,Bau Developed-Medium Intensity,253,44,79,0.99215,0.17254,0.3098
24,24,Bau Developed-High Intensity,173,0,28,0.67843,0,0.1098
31,31,Bab Barren,191,191,191,0.74902,0.74902,0.74902
32,32,Bab Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,230,232,250,1,1,1
80,80,Da Agriculture,255,210,119,1,0.82352,0.46666
81,81,Dab Agriculture-Pasture and Hay,227,212,28,0.89019,0.83137,0.1098
82,82,Da Agriculture-Cultivated Crops and Irrigated Agriculture,250,255,119,0.98039,1,0.46666
2001,2001,Sps Inter-Mountain Basins Sparsely Vegetated Systems,100,100,100,0.39215,0.39215,0.39215
2002,2002,Sps Mediterranean California Sparsely Vegetated Systems,100,100,100,0.39215,0.39215,0.39215
2003,2003,Sps North Pacific Sparsely Vegetated Systems,100,100,100,0.39215,0.39215,0.39215
2004,2004,Sps North American Warm Desert Sparsely Vegetated Systems,100,100,100,0.39215,0.39215,0.39215
2005,2005,Sps Pacific Coastal Dunes and Other Sparsely Vegetated Systems,100,100,100,0,0,0
2006,2006,Sps Rocky Mountain Alpine/Montane Sparsely Vegetated Systems,100,100,100,0.39215,0.39215,0.39215
2007,2007,Sps Western Great Plains Sparsely Vegetated Systems,100,100,100,0.39215,0.39215,0.39215
2008,2008,Tr North Pacific Oak Woodland,203,255,171,0.79607,1,0.67058
2009,2009,Tr Northwestern Great Plains Aspen Forest and Parkland,192,255,138,0.75294,1,0.54117
2010,2010,Tr Northern Rocky Mountain Western Larch Savanna,180,255,148,0.70588,1,0.58039
2011,2011,Tr Rocky Mountain Aspen Forest and Woodland,192,255,138,0.75294,1,0.54117
2012,2012,Tr Rocky Mountain Bigtooth Maple Ravine Woodland,171,255,138,0.67058,1,0.54117
2013,2013,Tr Western Great Plains Dry Bur Oak Forest and Woodland,6,53,122,0.02352,0.20784,0.47843
2014,2014,Tr Central and Southern California Mixed Evergreen Woodland,145,255,115,0.56862,1,0.45098
2015,2015,Tr California Coastal Redwood Forest,135,255,105,0.52941,1,0.41176
2016,2016,Tr Colorado Plateau Pinyon-Juniper Woodland,121,255,94,0.47451,1,0.36862
2017,2017,Tr Columbia Plateau Western Juniper Woodland and Savanna,108,255,82,0.42352,1,0.32156
2018,2018,Tr East Cascades Mesic Montane Mixed-Conifer Forest and Woodland,96,255,71,0.37647,1,0.27843
2019,2019,Tr Great Basin Pinyon-Juniper Woodland,78,255,59,0.30588,1,0.23137
2020,2020,Tr Inter-Mountain Basins Subalpine Limber-Bristlecone Pine Woodland,63,255,46,0.24705,1,0.18039
2021,2021,Tr Klamath-Siskiyou Lower Montane Serpentine Mixed Conifer Woodland,42,255,31,0.1647,1,0.12156
2022,2022,Tr Klamath-Siskiyou Upper Montane Serpentine Mixed Conifer Woodland,224,252,192,0.87843,0.98823,0.75294
2023,2023,Tr Madrean Encinal,0,237,0,0,0.92941,0
2024,2024,Tr Madrean Lower Montane Pine-Oak Forest and Woodland,0,237,0,0,0.92941,0
2025,2025,Tr Madrean Pinyon-Juniper Woodland,121,255,94,0.47451,1,0.36862
2026,2026,Tr Madrean Upper Montane Conifer-Oak Forest and Woodland,0,237,0,0,0.92941,0
2027,2027,Tr Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,0,222,0,0,0.87058,0
2028,2028,Tr Mediterranean California Mesic Mixed Conifer Forest and Woodland,0,204,0,0,0.8,0
2029,2029,Tr Mediterranean California Mixed Oak Woodland,0,189,0,0,0.74117,0
2030,2030,Tr Mediterranean California Lower Montane Conifer Forest and Woodland,0,189,0,0,0.74117,0
2031,2031,Tr California Montane Jeffrey Pine(-Ponderosa Pine) Woodland,0,173,0,0,0.67843,0
2032,2032,Tr Mediterranean California Red Fir Forest,0,158,0,0,0.6196,0
2033,2033,Tr Mediterranean California Subalpine Woodland,0,145,0,0,0.56862,0
2034,2034,Tr Mediterranean California Mesic Serpentine Woodland and Chaparral,224,252,192,0.87843,0.98823,0.75294
2035,2035,Tr North Pacific Dry Douglas-fir(-Madrone) Forest and Woodland,0,130,0,0,0.5098,0
2036,2036,Tr North Pacific Hypermaritime Seasonal Sitka Spruce Forest,0,117,0,0,0.45882,0
2037,2037,Tr North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest,0,105,0,0,0.41176,0
2038,2038,Tr North Pacific Maritime Mesic Subalpine Parkland,0,92,0,0,0.36078,0
2039,2039,Tr North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,0,105,0,0,0.41176,0
2040,2040,Tr Alaskan Pacific Mesic Western Hemlock-Yellow-cedar Forest,0,82,0,0,0.321569,0
2041,2041,Tr North Pacific Mountain Hemlock Forest,0,92,0,0,0.36078,0
2042,2042,Tr North Pacific Mesic Western Hemlock-Silver Fir Forest,0,71,0,0,0.27843,0
2043,2043,Tr Mediterranean California Mixed Evergreen Forest,0,61,0,0,0.23921,0
2044,2044,Tr Northern California Mesic Subalpine Woodland,0,92,0,0,0.36078,0
2045,2045,Tr Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest,0,51,0,0,0.2,0
2046,2046,Tr Northern Rocky Mountain Subalpine Woodland and Parkland,191,255,233,0.74902,1,0.91372
2047,2047,Tr Northern Rocky Mountain Mesic Montane Mixed Conifer Forest,96,255,71,0.37647,1,0.27843
2048,2048,Tr Northwestern Great Plains Highland White Spruce Woodland,182,250,227,0.71372,0.98039,0.89019
2049,2049,Tr Rocky Mountain Foothill Limber Pine-Juniper Woodland,174,245,224,0.68235,0.96078,0.87843
2050,2050,Tr Rocky Mountain Lodgepole Pine Forest,163,240,219,0.63921,0.94117,0.85882
2051,2051,Tr Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland,0,51,0,0,0.2,0
2052,2052,Tr Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland,0,204,0,0,0.8,0
2053,2053,Tr Northern Rocky Mountain Ponderosa Pine Woodland and Savanna,214,255,181,0.83921,1,0.7098
2054,2054,Tr Southern Rocky Mountain Ponderosa Pine Woodland,214,255,181,0.83921,1,0.7098
2055,2055,Tr Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,236,252,204,0.92549,0.98823,0.8
2056,2056,Tr Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,236,252,204,0.92549,0.98823,0.8
2057,2057,Tr Rocky Mountain Subalpine-Montane Limber-Bristlecone Pine Woodland,63,255,46,0.24705,1,0.18039
2058,2058,Tr Sierra Nevada Subalpine Lodgepole Pine Forest and Woodland,163,240,219,0.63921,0.94117,0.85882
2059,2059,Tr Southern Rocky Mountain Pinyon-Juniper Woodland,121,255,94,0.47451,1,0.36862
2060,2060,Tr East Cascades Ponderosa Pine Forest and Woodland,214,255,181,0.83921,1,0.7098
2061,2061,Tr Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland,192,255,138,0.75294,1,0.54117
2062,2062,Tr Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland,155,235,216,0.60784,0.92156,0.84705
2063,2063,Tr North Pacific Broadleaf Landslide Forest and Shrubland,146,232,215,0.57254,0.9098,0.84313
2064,2064,Sh Colorado Plateau Mixed Low Sagebrush Shrubland,204,182,135,0.8,0.71372,0.52941
2065,2065,Sh Columbia Plateau Scabland Shrubland,199,176,129,0.78039,0.69019,0.50588
2066,2066,Sh Inter-Mountain Basins Mat Saltbush Shrubland,194,170,126,0.76078,0.66666,0.49411
2067,2067,Sh Mediterranean California Alpine Fell-Field,255,211,119,1,0.82745,0.46666
2068,2068,Sh North Pacific Dry and Mesic Alpine Dwarf-Shrubland or Fell-field or Meadow,181,156,114,0.7098,0.61176,0.44705
2070,2070,Sh Rocky Mountain Alpine Dwarf-Shrubland,171,145,106,0.67058,0.56862,0.41568
2071,2071,Sh Sierra Nevada Alpine Dwarf-Shrubland,255,211,119,1,0.82745,0.46666
2072,2072,Sh Wyoming Basins Dwarf Sagebrush Shrubland and Steppe,204,182,135,0.8,0.71372,0.52941
2073,2073,Sh Baja Semi-Desert Coastal Succulent Scrub,166,139,107,1,1,0
2074,2074,Sh Chihuahuan Creosotebush Desert Scrub,161,134,96,0.63137,0.52549,0.37647
2075,2075,Sh Chihuahuan Mixed Salt Desert Scrub,156,128,92,0.61176,0.50196,0.36078
2076,2076,Sh Chihuahuan Stabilized Coppice Dune and Sand Flat Scrub,150,123,89,0.58823,0.48235,0.34902
2077,2077,Sh Chihuahuan Succulent Desert Scrub,145,117,84,0.56862,0.45882,0.32941
2078,2078,Sh Colorado Plateau Blackbrush-Mormon-tea Shrubland,140,112,80,0.54902,0.43921,0.31372
2079,2079,Sh Great Basin Xeric Mixed Sagebrush Shrubland,135,106,76,0.52941,0.41568,0.29803
2080,2080,Sh Inter-Mountain Basins Big Sagebrush Shrubland,130,101,72,0.5098,0.39607,0.28235
2081,2081,Sh Inter-Mountain Basins Mixed Salt Desert Scrub,156,128,92,0.61176,0.50196,0.36078
2082,2082,Sh Mojave Mid-Elevation Mixed Desert Scrub,140,112,80,0.54902,0.43921,0.31372
2083,2083,Sh North Pacific Avalanche Chute Shrubland,128,97,69,0.50196,0.38039,0.27058
2084,2084,Sh North Pacific Montane Shrubland,128,97,69,0.50196,0.38039,0.27058
2085,2085,Sh Northwestern Great Plains Shrubland,122,93,65,0.47843,0.3647,0.2549
2086,2086,Sh Rocky Mountain Lower Montane-Foothill Shrubland,117,87,61,0.45882,0.34117,0.23921
2087,2087,Sh Sonora-Mojave Creosotebush-White Bursage Desert Scrub,161,134,96,0.63137,0.52549,0.37647
2088,2088,Sh Sonora-Mojave Mixed Salt Desert Scrub,156,128,92,0.61176,0.50196,0.36078
2090,2090,Sh Sonoran Granite Outcrop Desert Scrub,161,134,96,0.63137,0.52549,0.37647
2091,2091,Sh Sonoran Mid-Elevation Desert Scrub,161,134,96,0.63137,0.52549,0.37647
2092,2092,Sh Southern California Coastal Scrub,166,139,107,0.65098,0.54509,0.4196
2093,2093,Sh Southern Colorado Plateau Sand Shrubland,112,82,57,0.43921,0.32156,0.22352
2094,2094,Sh Western Great Plains Sandhill Steppe,112,82,57,0.43921,0.32156,0.22352
2095,2095,Sh Apacherian-Chihuahuan Mesquite Upland Scrub,150,123,89,0.58823,0.48235,0.34902
2096,2096,Sh California Maritime Chaparral,107,77,54,0.4196,0.30196,0.21176
2097,2097,Sh California Mesic Chaparral,59,30,19,0.23137,0.11764,0.07451
2098,2098,Sh California Montane Woodland and Chaparral,66,37,24,0.25882,0.14509,0.09411
2099,2099,Sh California Xeric Serpentine Chaparral,66,37,24,0.25882,0.14509,0.09411
2100,2100,Sh Chihuahuan Mixed Desert and Thornscrub,74,44,29,0.29019,0.17254,0.11372
2101,2101,Sh Madrean Oriental Chaparral,145,117,84,0.56862,0.45882,0.32941
2102,2102,Sh Colorado Plateau Pinyon-Juniper Shrubland,121,255,94,0,1,0.36862
2103,2103,Sh Great Basin Semi-Desert Chaparral,89,59,40,0.34902,0.23137,0.15686
2104,2104,Sh Mogollon Chaparral,89,59,40,0.34902,0.23137,0.15686
2105,2105,Sh Northern and Central California Dry-Mesic Chaparral,99,69,47,0.38823,0.27058,0.18431
2106,2106,Sh Northern Rocky Mountain Montane-Foothill Deciduous Shrubland,117,87,61,0.45882,0.34117,0.23921
2107,2107,Sh Rocky Mountain Gambel Oak-Mixed Montane Shrubland,245,175,54,0.96078,0.68627,0.21176
2108,2108,Sh Sonora-Mojave Semi-Desert Chaparral,89,59,40,0.34902,0.23137,0.15686
2109,2109,Sh Sonoran Paloverde-Mixed Cacti Desert Scrub,242,168,48,0.94902,0.65882,0.18823
2110,2110,Sh Southern California Dry-Mesic Chaparral,99,69,47,0.38823,0.27058,0.18431
2111,2111,Sh Western Great Plains Mesquite Woodland and Shrubland,150,123,89,0.58823,0.48235,0.34902
2112,2112,Tr California Central Valley Mixed Oak Savanna,138,227,212,0.54117,0.89019,0.83137
2113,2113,Tr California Coastal Live Oak Woodland and Savanna,131,222,110,0.51372,0.87058,0.43137
2114,2114,Tr California Lower Montane Foothill Pine Woodland and Savanna,121,217,207,0.47451,0.85098,0.81176
2115,2115,Tr Inter-Mountain Basins Juniper Savanna,78,255,59,0.30588,1,0.23137
2116,2116,Tr Madrean Juniper Savanna,145,117,84,0.56862,0.45882,0.32941
2117,2117,Tr Southern Rocky Mountain Ponderosa Pine Savanna,214,255,181,0.83921,1,0.7098
2118,2118,Tr Southern California Oak Woodland and Savanna,131,222,110,0.51372,0.87058,0.43137
2119,2119,Tr Southern Rocky Mountain Juniper Woodland and Savanna,121,255,94,0.47451,1,0.36862
2120,2120,Tr Willamette Valley Upland Prairie and Savanna,203,255,171,0.79607,1,0.67058
2121,2121,Sh Apacherian-Chihuahuan Semi-Desert Grassland and Steppe,255,204,51,1,0.8,0.2
2122,2122,He Chihuahuan Gypsophilous Grassland and Steppe,255,204,51,1,0.8,0.2
2123,2123,He Columbia Plateau Steppe and Grassland,199,176,129,0.78039,0.69019,0.50588
2124,2124,Sh Columbia Plateau Low Sagebrush Steppe,135,106,76,0.52941,0.41568,0.29803
2125,2125,Sh Inter-Mountain Basins Big Sagebrush Steppe,230,151,41,0.90196,0.59215,0.16078
2126,2126,Sh Inter-Mountain Basins Montane Sagebrush Steppe,219,140,37,0.85882,0.54902,0.14509
2127,2127,Sh Inter-Mountain Basins Semi-Desert Shrub-Steppe,130,101,72,0.5098,0.39607,0.28235
2128,2128,Sh Northern California Coastal Scrub,201,116,30,0.78823,0.4549,0.11764
2129,2129,He California Central Valley and Southern Coastal Grassland,255,235,153,1,0.92156,0.6
2130,2130,He California Mesic Serpentine Grassland,255,235,153,1,0.92156,0.6
2131,2131,He California Northern Coastal Grassland,255,248,148,1,0.97254,0.58039
2132,2132,Sh Central Mixedgrass Prairie,255,241,140,1,0.94509,0.54902
2133,2133,He Chihuahuan Sandy Plains Semi-Desert Grassland,255,233,135,1,0.91372,0.52941
2134,2134,He Columbia Basin Foothill and Canyon Dry Grassland,255,226,130,1,0.88627,0.5098
2135,2135,He Inter-Mountain Basins Semi-Desert Grassland,255,200,125,1,0.78431,0.49019
2136,2136,He Mediterranean California Alpine Dry Tundra,255,211,119,1,0.82745,0.46666
2137,2137,He Mediterranean California Subalpine Meadow,255,205,112,1,0.80392,0.43921
2138,2138,He North Pacific Montane Grassland,255,198,107,1,0.77647,0.4196
2139,2139,He Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland,255,191,102,1,0.74902,0.4
2140,2140,He Northern Rocky Mountain Subalpine-Upper Montane Grassland,255,184,97,1,0.72156,0.38039
2141,2141,He Northwestern Great Plains Mixedgrass Prairie,255,176,92,1,0.69019,0.36078
2142,2142,He Columbia Basin Palouse Prairie,255,198,107,1,0.77647,0.4196
2143,2143,He Rocky Mountain Alpine Fell-Field,171,145,106,0.67058,0.56862,0.41568
2144,2144,He Rocky Mountain Alpine Turf,171,145,106,0.67058,0.56862,0.41568
2145,2145,He Rocky Mountain Subalpine-Montane Mesic Meadow,255,163,82,1,0.63921,0.32156
2146,2146,He Southern Rocky Mountain Montane-Subalpine Grassland,171,145,106,0.67058,0.56862,0.41568
2147,2147,He Western Great Plains Foothill and Piedmont Grassland,255,157,77,1,0.61568,0.30196
2148,2148,He Western Great Plains Sand Prairie,255,148,71,1,0.58039,0.27843
2149,2149,He Western Great Plains Shortgrass Prairie,255,142,66,1,0.55686,0.25882
2150,2150,He Western Great Plains Tallgrass Prairie,255,137,64,1,0.53725,0.25098
2151,2151,Tr California Central Valley Riparian Woodland and Shrubland,81,180,141,0.31764,0.70588,0.55294
2152,2152,Tr California Montane Riparian Systems,81,180,141,0.31764,0.70588,0.55294
2153,2153,Sh Inter-Mountain Basins Greasewood Flat,194,170,126,0.76078,0.66666,0.49411
2154,2154,Tr Inter-Mountain Basins Montane Riparian Systems,73,171,186,0.28627,0.67058,0.72941
2155,2155,Tr North American Warm Desert Riparian Systems,81,180,141,0.31764,0.70588,0.55294
2156,2156,Tr North Pacific Lowland Riparian Forest and Shrubland,67,162,181,0.26274,0.63529,0.7098
2157,2157,Tr North Pacific Swamp Systems,67,162,181,0.26274,0.63529,0.7098
2158,2158,Tr North Pacific Montane Riparian Woodland and Shrubland,67,162,181,0.26274,0.63529,0.7098
2159,2159,Tr Rocky Mountain Montane Riparian Systems,73,171,186,0.28627,0.67058,0.72941
2160,2160,Tr Rocky Mountain Subalpine/Upper Montane Riparian Systems,184,96,24,0.72156,0.37647,0.09411
2161,2161,Tr Northern Rocky Mountain Conifer Swamp,73,171,186,0.28627,0.67058,0.72941
2162,2162,Tr Western Great Plains Floodplain Systems,6,53,122,0.02352,0.20784,0.47843
2163,2163,He Pacific Coastal Marsh Systems,255,127,59,1,0.49803,0.23137
2164,2164,He Rocky Mountain Wetland-Herbaceous,184,96,24,0.72156,0.37647,0.09411
2165,2165,Tr Northern Rocky Mountain Foothill Conifer Wooded Steppe,55,146,173,0.21568,0.57254,0.67843
2166,2166,Tr Middle Rocky Mountain Montane Douglas-fir Forest and Woodland,0,51,0,0,0.2,0
2167,2167,Tr Rocky Mountain Poor-Site Lodgepole Pine Forest,163,240,219,0.63921,0.94117,0.85882
2168,2168,Sh Northern Rocky Mountain Avalanche Chute Shrubland,128,97,69,0.50196,0.38039,0.27058
2169,2169,Sh Northern Rocky Mountain Subalpine Deciduous Shrubland,128,97,69,0.50196,0.38039,0.27058
2170,2170,Tr Klamath-Siskiyou Xeromorphic Serpentine Savanna and Chaparral,224,252,192,0.87843,0.98823,0.75294
2171,2171,He North Pacific Alpine and Subalpine Dry Grassland,255,114,48,1,0.44705,0.18823
2172,2172,Tr Sierran-Intermontane Desert Western White Pine-White Fir Woodland,0,204,0,0,0.8,0
2173,2173,Tr North Pacific Wooded Volcanic Flowage,163,240,219,0.63921,0.94117,0.85882
2174,2174,Tr North Pacific Dry-Mesic Silver Fir-Western Hemlock-Douglas-fir Forest,0,71,0,0,0.27843,0
2176,2176,He Rocky Mountain Alpine-Montane Wet Meadow,184,96,24,0.72156,0.37647,0.09411
2177,2177,Tr California Coastal Closed-Cone Conifer Forest and Woodland,224,252,192,0.87843,0.98823,0.75294
2178,2178,Tr North Pacific Hypermaritime Western Red-cedar-Western Hemlock Forest,4,45,117,0.01568,0.17647,0.45882
2179,2179,Tr Northwestern Great Plains-Black Hills Ponderosa Pine Woodland and Savanna,214,255,181,0.83921,1,0.7098
2180,2180,Tr Introduced Riparian Vegetation,255,105,46,1,0.41176,0.18039
2181,2181,He Introduced Upland Vegetation-Annual Grassland,255,105,46,1,0.41176,0.18039
2182,2182,He Introduced Upland Vegetation-Perennial Grassland and Forbland,255,105,46,1,0.41176,0.18039
2183,2183,He Introduced Upland Vegetation-Annual and Biennial Forbland,255,105,46,1,0.41176,0.18039
2184,2184,He California Annual Grassland,255,105,46,1,0.41176,0.18039
2185,2185,Tr Introduced Wetland Vegetation,0,132,168,0,0.51764,0.65882
2186,2186,Sh Introduced Upland Vegetation-Shrub,255,105,46,1,0.41176,0.18039
2187,2187,Tr Introduced Upland Vegetation-Treed,255,105,46,1,0.41176,0.18039
2190,2190,Sh Recently Burned-Shrub Cover,255,59,20,1,0.23137,0.07843
2191,2191,He Recently Logged-Herb and Grass Cover,255,68,25,1,0.26666,0.09803
2192,2192,Sh Recently Logged-Shrub Cover,255,68,25,1,0.26666,0.09803
2193,2193,Tr Recently Logged-Tree Cover,255,68,25,1,0.26666,0.09803
2194,2194,Tr Ruderal Upland-Treed,255,59,20,1,0.23137,0.07843
2195,2195,He Recently Burned-Herb and Grass Cover,255,59,20,1,0.23137,0.07843
2197,2197,Tr Recently Burned-Tree Cover,255,59,20,1,0.23137,0.07843
2198,2198,He Recently Disturbed-Herb and Grass Cover,255,68,25,1,0.26666,0.09803
2199,2199,Sh Recently Disturbed-Shrub Cover,255,68,25,1,0.26666,0.09803
2200,2200,Tr Coastal Douglas-fir Woodland,0,130,0,0,0.5098,0
2201,2201,Tr Quercus garryana Woodland Alliance,203,255,171,0.79607,1,0.67058
2202,2202,Tr Juniperus occidentalis Wooded Herbaceous Alliance,108,255,82,0.42352,1,0.32156
2203,2203,Tr Juniperus occidentalis Woodland Alliance,25,93,145,0.09803,0.3647,0.56862
2204,2204,Tr Recently Disturbed-Tree Cover,255,68,25,1,0.26666,0.09803
2205,2205,Tr Tsuga mertensiana-Abies amabilis Woodland Alliance,0,71,0,0,0.27843,0
2206,2206,Tr Pseudotsuga menziesii Giant Forest Alliance,0,130,0,0,0.5098,0
2208,2208,Tr Abies concolor Forest Alliance,0,204,0,0,0.8,0
2210,2210,Sh Coleogyne ramosissima Shrubland Alliance,140,112,80,0.54902,0.43921,0.31372
2211,2211,Sh Grayia spinosa Shrubland Alliance,156,128,92,0.61176,0.50196,0.36078
2213,2213,Sh Quercus havardii Shrubland Alliance,140,47,10,0.54902,0.18431,0.03921
2214,2214,Sh Arctostaphylos patula Shrubland Alliance,89,59,40,0.34902,0.23137,0.15686
2215,2215,Sh Quercus turbinella Shrubland Alliance,89,59,40,0.34902,0.23137,0.15686
